title_2023,code,type,employment_base_2023,employment_proj_2023,share_base_2023,share_proj_2023,change_numeric_2023,change_percent_2023,self_employed_2023,openings_2023,median_wage_2023,base_year_2023,projection_year_2023,title_2024,employment_base_2024,employment_proj_2024,share_base_2024,share_proj_2024,change_numeric_2024,change_percent_2024,self_employed_2024,openings_2024,median_wage_2024,base_year_2024,projection_year_2024,_merge,employment_base_delta,employment_proj_delta,share_base_delta,share_proj_delta,change_numeric_delta,change_percent_delta,self_employed_delta,openings_delta,median_wage_delta
"Farmworkers, farm, ranch, and aquacultural animals",45-2093,Line item,204.7,194.1,0.1,0.1,-10.6,-5.2,2.3,29.4,35120.0,2023,2033,"Farmworkers, farm, ranch, and aquacultural animals",224.6,213.4,0.1,0.1,-11.1,-5.0,2.3,31.2,36150.0,2024,2034,both,19.900000000000006,19.30000000000001,0.0,0.0,-0.5,0.20000000000000018,0.0,1.8000000000000007,1030.0
"Agricultural workers, all other",45-2099,Line item,11.0,11.3,0.0,0.0,0.3,2.5,6.4,1.7,40620.0,2023,2033,"Agricultural workers, all other",10.1,10.3,0.0,0.0,0.2,2.3,5.8,1.5,40390.0,2024,2034,both,-0.9000000000000004,-1.0,0.0,0.0,-0.09999999999999998,-0.20000000000000018,-0.6000000000000005,-0.19999999999999996,-230.0
Fishing and hunting workers,45-3031,Line item,25.5,25.3,0.0,0.0,-0.2,-0.7,36.8,3.5,,2023,2033,Fishing and hunting workers,21.9,20.9,0.0,0.0,-1.0,-4.6,57.1,2.8,,2024,2034,both,-3.6000000000000014,-4.400000000000002,0.0,0.0,-0.8,-3.8999999999999995,20.300000000000004,-0.7000000000000002,
Forest and conservation workers,45-4011,Line item,10.9,10.5,0.0,0.0,-0.4,-3.8,6.7,2.1,33940.0,2023,2033,Forest and conservation workers,10.8,10.3,0.0,0.0,-0.5,-4.7,15.1,2.0,43680.0,2024,2034,both,-0.09999999999999964,-0.1999999999999993,0.0,0.0,-0.09999999999999998,-0.9000000000000004,8.399999999999999,-0.10000000000000009,9740.0
Fallers,45-4021,Line item,6.9,6.3,0.0,0.0,-0.6,-8.4,30.5,0.9,53170.0,2023,2033,Fallers,5.6,5.2,0.0,0.0,-0.4,-7.3,29.6,0.7,53900.0,2024,2034,both,-1.3000000000000007,-1.0999999999999996,0.0,0.0,0.19999999999999996,1.1000000000000005,-0.8999999999999986,-0.20000000000000007,730.0
Logging equipment operators,45-4022,Line item,34.1,32.8,0.0,0.0,-1.3,-3.8,30.3,4.6,48240.0,2023,2033,Logging equipment operators,30.9,30.5,0.0,0.0,-0.4,-1.4,29.1,4.2,49210.0,2024,2034,both,-3.200000000000003,-2.299999999999997,0.0,0.0,0.9,2.4,-1.1999999999999993,-0.39999999999999947,970.0
Log graders and scalers,45-4023,Line item,5.2,5.1,0.0,0.0,-0.1,-1.5,30.4,0.7,45600.0,2023,2033,Log graders and scalers,4.6,4.6,0.0,0.0,0.0,-0.7,28.3,0.6,46710.0,2024,2034,both,-0.6000000000000005,-0.5,0.0,0.0,0.1,0.8,-2.099999999999998,-0.09999999999999998,1110.0
"Logging workers, all other",45-4029,Line item,3.7,3.4,0.0,0.0,-0.3,-7.4,30.3,0.5,52480.0,2023,2033,"Logging workers, all other",3.1,3.0,0.0,0.0,-0.1,-4.7,27.6,0.4,52000.0,2024,2034,both,-0.6000000000000001,-0.3999999999999999,0.0,0.0,0.19999999999999998,2.7,-2.6999999999999993,-0.09999999999999998,-480.0
First-line supervisors of construction trades and extraction workers,47-1011,Line item,853.2,903.4,0.5,0.5,50.3,5.9,7.6,72.0,76760.0,2023,2033,First-line supervisors of construction trades and extraction workers,921.6,970.6,0.5,0.6,49.0,5.3,11.5,74.4,78690.0,2024,2034,both,68.39999999999998,67.20000000000005,0.0,0.09999999999999998,-1.2999999999999972,-0.6000000000000005,3.9000000000000004,2.4000000000000057,1930.0
Boilermakers,47-2011,Line item,11.3,11.2,0.0,0.0,-0.1,-1.2,,1.0,71140.0,2023,2033,Boilermakers,10.4,10.1,0.0,0.0,-0.2,-2.4,,0.8,73340.0,2024,2034,both,-0.9000000000000004,-1.0999999999999996,0.0,0.0,-0.1,-1.2,,-0.19999999999999996,2200.0
Brickmasons and blockmasons,47-2021,Line item,72.6,75.0,0.0,0.0,2.4,3.3,19.4,5.6,59640.0,2023,2033,Brickmasons and blockmasons,74.1,76.4,0.0,0.0,2.4,3.2,27.1,5.6,60800.0,2024,2034,both,1.5,1.4000000000000057,0.0,0.0,0.0,-0.09999999999999964,7.700000000000003,0.0,1160.0
Stonemasons,47-2022,Line item,12.4,12.0,0.0,0.0,-0.4,-3.6,19.7,0.8,51830.0,2023,2033,Stonemasons,12.1,11.8,0.0,0.0,-0.4,-3.0,27.3,0.8,51990.0,2024,2034,both,-0.3000000000000007,-0.1999999999999993,0.0,0.0,0.0,0.6000000000000001,7.600000000000001,0.0,160.0
Carpenters,47-2031,Line item,923.1,961.6,0.5,0.6,38.6,4.2,23.6,76.5,56350.0,2023,2033,Carpenters,959.0,1002.1,0.6,0.6,43.1,4.5,26.8,74.1,59310.0,2024,2034,both,35.89999999999998,40.5,0.09999999999999998,0.0,4.5,0.2999999999999998,3.1999999999999993,-2.4000000000000057,2960.0
Carpet installers,47-2041,Line item,20.3,18.5,0.0,0.0,-1.8,-8.9,24.4,1.2,47520.0,2023,2033,Carpet installers,20.3,18.3,0.0,0.0,-1.9,-9.6,25.6,1.1,49850.0,2024,2034,both,0.0,-0.1999999999999993,0.0,0.0,-0.09999999999999987,-0.6999999999999993,1.2000000000000028,-0.09999999999999987,2330.0
"Floor layers, except carpet, wood, and hard tiles",47-2042,Line item,32.8,36.1,0.0,0.0,3.3,10.1,24.4,2.8,48840.0,2023,2033,"Floor layers, except carpet, wood, and hard tiles",33.7,36.9,0.0,0.0,3.2,9.5,25.7,2.7,54340.0,2024,2034,both,0.9000000000000057,0.7999999999999972,0.0,0.0,-0.09999999999999964,-0.5999999999999996,1.3000000000000007,-0.09999999999999964,5500.0
Floor sanders and finishers,47-2043,Line item,6.6,6.8,0.0,0.0,0.2,2.5,24.4,0.5,47760.0,2023,2033,Floor sanders and finishers,5.6,5.8,0.0,0.0,0.1,2.6,25.7,0.4,49150.0,2024,2034,both,-1.0,-1.0,0.0,0.0,-0.1,0.10000000000000009,1.3000000000000007,-0.09999999999999998,1390.0
Tile and stone setters,47-2044,Line item,55.6,61.4,0.0,0.0,5.8,10.4,24.3,4.7,48910.0,2023,2033,Tile and stone setters,52.6,58.0,0.0,0.0,5.3,10.1,25.7,4.2,52240.0,2024,2034,both,-3.0,-3.3999999999999986,0.0,0.0,-0.5,-0.3000000000000007,1.3999999999999986,-0.5,3330.0
Cement masons and concrete finishers,47-2051,Line item,211.8,210.3,0.1,0.1,-1.5,-0.7,3.2,15.2,50720.0,2023,2033,Cement masons and concrete finishers,206.7,210.4,0.1,0.1,3.8,1.8,1.0,14.3,54660.0,2024,2034,both,-5.100000000000023,0.09999999999999432,0.0,0.0,5.3,2.5,-2.2,-0.8999999999999986,3940.0
Terrazzo workers and finishers,47-2053,Line item,1.5,1.4,0.0,0.0,-0.1,-8.4,,0.1,48900.0,2023,2033,Terrazzo workers and finishers,1.5,1.3,0.0,0.0,-0.2,-11.1,,0.1,57260.0,2024,2034,both,0.0,-0.09999999999999987,0.0,0.0,-0.1,-2.6999999999999993,,0.0,8360.0
Construction laborers,47-2061,Line item,1401.2,1516.6,0.8,0.9,115.4,8.2,26.6,133.1,45300.0,2023,2033,Construction laborers,1457.0,1563.4,0.9,0.9,106.5,7.3,26.9,129.4,46730.0,2024,2034,both,55.799999999999955,46.80000000000018,0.09999999999999998,0.0,-8.900000000000006,-0.8999999999999995,0.29999999999999716,-3.6999999999999886,1430.0
"Paving, surfacing, and tamping equipment operators",47-2071,Line item,44.5,46.3,0.0,0.0,1.7,3.9,2.4,3.9,48980.0,2023,2033,"Paving, surfacing, and tamping equipment operators",47.0,48.6,0.0,0.0,1.5,3.2,2.7,4.0,51650.0,2024,2034,both,2.5,2.3000000000000043,0.0,0.0,-0.19999999999999996,-0.6999999999999997,0.30000000000000027,0.10000000000000009,2670.0
Pile driver operators,47-2072,Line item,3.1,3.3,0.0,0.0,0.1,4.6,2.7,0.3,63550.0,2023,2033,Pile driver operators,3.2,3.3,0.0,0.0,0.1,4.3,3.0,0.3,70510.0,2024,2034,both,0.10000000000000009,0.0,0.0,0.0,0.0,-0.2999999999999998,0.2999999999999998,0.0,6960.0
Operating engineers and other construction equipment operators,47-2073,Line item,468.0,487.6,0.3,0.3,19.6,4.2,2.2,41.5,56160.0,2023,2033,Operating engineers and other construction equipment operators,489.3,507.1,0.3,0.3,17.8,3.6,2.5,41.9,58710.0,2024,2034,both,21.30000000000001,19.5,0.0,0.0,-1.8000000000000007,-0.6000000000000001,0.2999999999999998,0.3999999999999986,2550.0
Drywall and ceiling tile installers,47-2081,Line item,116.6,120.4,0.1,0.1,3.8,3.3,21.6,8.5,55700.0,2023,2033,Drywall and ceiling tile installers,103.1,107.4,0.1,0.1,4.3,4.2,19.5,7.7,58140.0,2024,2034,both,-13.5,-13.0,0.0,0.0,0.5,0.9000000000000004,-2.1000000000000014,-0.7999999999999998,2440.0
Tapers,47-2082,Line item,20.0,19.8,0.0,0.0,-0.1,-0.7,21.6,1.4,63350.0,2023,2033,Tapers,15.6,15.6,0.0,0.0,0.0,0.1,19.5,1.1,64700.0,2024,2034,both,-4.4,-4.200000000000001,0.0,0.0,0.1,0.7999999999999999,-2.1000000000000014,-0.2999999999999998,1350.0
Electricians,47-2111,Line item,779.8,864.1,0.5,0.5,84.3,10.8,6.9,80.2,61590.0,2023,2033,Electricians,818.7,896.1,0.5,0.5,77.4,9.5,7.8,81.0,62350.0,2024,2034,both,38.90000000000009,32.0,0.0,0.0,-6.8999999999999915,-1.3000000000000007,0.8999999999999995,0.7999999999999972,760.0
Glaziers,47-2121,Line item,56.5,58.6,0.0,0.0,2.1,3.8,4.8,5.6,51100.0,2023,2033,Glaziers,60.5,62.5,0.0,0.0,2.0,3.3,7.1,5.1,55440.0,2024,2034,both,4.0,3.8999999999999986,0.0,0.0,-0.10000000000000009,-0.5,2.3,-0.5,4340.0
"Insulation workers, floor, ceiling, and wall",47-2131,Line item,39.1,40.2,0.0,0.0,1.0,2.7,0.9,3.4,47540.0,2023,2033,"Insulation workers, floor, ceiling, and wall",40.2,41.7,0.0,0.0,1.5,3.8,3.5,3.4,48680.0,2024,2034,both,1.1000000000000014,1.5,0.0,0.0,0.5,1.0999999999999996,2.6,0.0,1140.0
"Insulation workers, mechanical",47-2132,Line item,23.4,24.6,0.0,0.0,1.2,5.1,0.8,2.1,53920.0,2023,2033,"Insulation workers, mechanical",27.2,28.5,0.0,0.0,1.3,4.7,3.3,2.3,57250.0,2024,2034,both,3.8000000000000007,3.8999999999999986,0.0,0.0,0.10000000000000009,-0.39999999999999947,2.5,0.19999999999999973,3330.0
"Painters, construction and maintenance",47-2141,Line item,338.9,352.4,0.2,0.2,13.6,4.0,35.9,28.0,47700.0,2023,2033,"Painters, construction and maintenance",342.2,355.2,0.2,0.2,13.0,3.8,33.8,28.1,48660.0,2024,2034,both,3.3000000000000114,2.8000000000000114,0.0,0.0,-0.5999999999999996,-0.20000000000000018,-2.1000000000000014,0.10000000000000142,960.0
Paperhangers,47-2142,Line item,2.9,3.1,0.0,0.0,0.2,5.7,36.8,0.2,48460.0,2023,2033,Paperhangers,2.3,2.5,0.0,0.0,0.1,5.3,34.8,0.2,48260.0,2024,2034,both,-0.6000000000000001,-0.6000000000000001,0.0,0.0,-0.1,-0.40000000000000036,-2.0,0.0,-200.0
Pipelayers,47-2151,Line item,37.3,36.4,0.0,0.0,-0.9,-2.3,0.6,2.7,47330.0,2023,2033,Pipelayers,34.4,32.9,0.0,0.0,-1.4,-4.1,,2.4,48710.0,2024,2034,both,-2.8999999999999986,-3.5,0.0,0.0,-0.4999999999999999,-1.7999999999999998,,-0.30000000000000027,1380.0
"Plumbers, pipefitters, and steamfitters",47-2152,Line item,473.4,499.7,0.3,0.3,26.3,5.6,6.1,43.3,61550.0,2023,2033,"Plumbers, pipefitters, and steamfitters",504.5,527.2,0.3,0.3,22.7,4.5,7.8,44.0,62970.0,2024,2034,both,31.100000000000023,27.500000000000057,0.0,0.0,-3.6000000000000014,-1.0999999999999996,1.7000000000000002,0.7000000000000028,1420.0
Plasterers and stucco masons,47-2161,Line item,24.1,24.9,0.0,0.0,0.8,3.3,6.1,1.7,52640.0,2023,2033,Plasterers and stucco masons,24.2,25.2,0.0,0.0,1.0,4.1,13.4,1.9,56020.0,2024,2034,both,0.09999999999999787,0.3000000000000007,0.0,0.0,0.19999999999999996,0.7999999999999998,7.300000000000001,0.19999999999999996,3380.0
Reinforcing iron and rebar workers,47-2171,Line item,21.9,22.9,0.0,0.0,0.9,4.2,19.9,1.7,54850.0,2023,2033,Reinforcing iron and rebar workers,19.4,20.3,0.0,0.0,0.9,4.6,27.7,1.5,59280.0,2024,2034,both,-2.5,-2.599999999999998,0.0,0.0,0.0,0.39999999999999947,7.800000000000001,-0.19999999999999996,4430.0
Roofers,47-2181,Line item,168.1,177.9,0.1,0.1,9.8,5.8,17.4,13.6,50030.0,2023,2033,Roofers,166.7,176.5,0.1,0.1,9.8,5.9,18.3,12.7,50970.0,2024,2034,both,-1.4000000000000057,-1.4000000000000057,0.0,0.0,0.0,0.10000000000000053,0.9000000000000021,-0.9000000000000004,940.0
Sheet metal workers,47-2211,Line item,124.2,127.1,0.1,0.1,2.9,2.3,4.1,11.5,58780.0,2023,2033,Sheet metal workers,127.0,130.1,0.1,0.1,3.1,2.4,6.5,10.6,60850.0,2024,2034,both,2.799999999999997,3.0,0.0,0.0,0.20000000000000018,0.10000000000000009,2.4000000000000004,-0.9000000000000004,2070.0
Structural iron and steel workers,47-2221,Line item,66.1,68.9,0.0,0.0,2.7,4.1,2.2,5.8,62760.0,2023,2033,Structural iron and steel workers,65.7,68.6,0.0,0.0,2.9,4.4,1.9,5.5,62700.0,2024,2034,both,-0.3999999999999915,-0.30000000000001137,0.0,0.0,0.19999999999999973,0.3000000000000007,-0.30000000000000027,-0.2999999999999998,-60.0
Solar photovoltaic installers,47-2231,Line item,25.0,37.0,0.0,0.0,12.0,48.0,1.6,4.1,48800.0,2023,2033,Solar photovoltaic installers,28.6,40.6,0.0,0.0,12.0,42.1,,4.1,51860.0,2024,2034,both,3.6000000000000014,3.6000000000000014,0.0,0.0,0.0,-5.899999999999999,,0.0,3060.0
"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",47-3011,Line item,17.1,15.6,0.0,0.0,-1.6,-9.1,2.1,1.6,42470.0,2023,2033,"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",16.1,14.4,0.0,0.0,-1.7,-10.5,1.8,1.4,46480.0,2024,2034,both,-1.0,-1.1999999999999993,0.0,0.0,-0.09999999999999987,-1.4000000000000004,-0.30000000000000004,-0.20000000000000018,4010.0
Helpers--carpenters,47-3012,Line item,22.3,21.6,0.0,0.0,-0.7,-3.0,2.1,2.3,39380.0,2023,2033,Helpers--carpenters,25.2,26.4,0.0,0.0,1.1,4.5,1.8,2.7,41600.0,2024,2034,both,2.8999999999999986,4.799999999999997,0.0,0.0,1.8,7.5,-0.30000000000000004,0.40000000000000036,2220.0
Helpers--electricians,47-3013,Line item,71.5,72.2,0.0,0.0,0.7,1.0,2.0,7.7,38340.0,2023,2033,Helpers--electricians,66.6,66.7,0.0,0.0,0.1,0.2,1.8,6.8,39890.0,2024,2034,both,-4.900000000000006,-5.5,0.0,0.0,-0.6,-0.8,-0.19999999999999996,-0.9000000000000004,1550.0
"Helpers--painters, paperhangers, plasterers, and stucco masons",47-3014,Line item,7.8,8.0,0.0,0.0,0.1,1.9,2.1,0.9,37010.0,2023,2033,"Helpers--painters, paperhangers, plasterers, and stucco masons",7.4,7.6,0.0,0.0,0.2,2.3,1.8,0.8,38140.0,2024,2034,both,-0.39999999999999947,-0.40000000000000036,0.0,0.0,0.1,0.3999999999999999,-0.30000000000000004,-0.09999999999999998,1130.0
"Helpers--pipelayers, plumbers, pipefitters, and steamfitters",47-3015,Line item,47.1,49.8,0.0,0.0,2.8,5.9,2.1,5.5,37650.0,2023,2033,"Helpers--pipelayers, plumbers, pipefitters, and steamfitters",45.3,47.5,0.0,0.0,2.2,4.9,1.8,4.9,39270.0,2024,2034,both,-1.8000000000000043,-2.299999999999997,0.0,0.0,-0.5999999999999996,-1.0,-0.30000000000000004,-0.5999999999999996,1620.0
Helpers--roofers,47-3016,Line item,4.8,5.0,0.0,0.0,0.3,5.6,2.1,0.5,38620.0,2023,2033,Helpers--roofers,5.2,5.5,0.0,0.0,0.3,5.7,1.9,0.6,40590.0,2024,2034,both,0.40000000000000036,0.5,0.0,0.0,0.0,0.10000000000000053,-0.20000000000000018,0.09999999999999998,1970.0
"Helpers, construction trades, all other",47-3019,Line item,28.0,30.4,0.0,0.0,2.3,8.3,2.0,3.4,40220.0,2023,2033,"Helpers, construction trades, all other",26.3,27.4,0.0,0.0,1.2,4.4,1.7,2.8,40760.0,2024,2034,both,-1.6999999999999993,-3.0,0.0,0.0,-1.0999999999999999,-3.9000000000000004,-0.30000000000000004,-0.6000000000000001,540.0
Construction and building inspectors,47-4011,Line item,142.6,142.7,0.1,0.1,0.0,0.0,4.2,15.0,67700.0,2023,2033,Construction and building inspectors,147.6,146.5,0.1,0.1,-1.2,-0.8,4.8,14.8,72120.0,2024,2034,both,5.0,3.8000000000000114,0.0,0.0,-1.2,-0.8,0.5999999999999996,-0.1999999999999993,4420.0
Elevator and escalator installers and repairers,47-4021,Line item,24.4,25.8,0.0,0.0,1.4,5.7,,2.2,102420.0,2023,2033,Elevator and escalator installers and repairers,24.2,25.4,0.0,0.0,1.2,5.0,,2.0,106580.0,2024,2034,both,-0.1999999999999993,-0.40000000000000213,0.0,0.0,-0.19999999999999996,-0.7000000000000002,,-0.20000000000000018,4160.0
Fence erectors,47-4031,Line item,24.3,25.5,0.0,0.0,1.2,4.8,11.6,2.1,44410.0,2023,2033,Fence erectors,26.4,27.6,0.0,0.0,1.2,4.6,11.4,2.3,46940.0,2024,2034,both,2.099999999999998,2.1000000000000014,0.0,0.0,0.0,-0.20000000000000018,-0.1999999999999993,0.19999999999999973,2530.0
Hazardous materials removal workers,47-4041,Line item,50.3,50.9,0.0,0.0,0.5,1.0,,4.8,47280.0,2023,2033,Hazardous materials removal workers,51.3,51.8,0.0,0.0,0.5,1.0,0.1,5.0,48490.0,2024,2034,both,1.0,0.8999999999999986,0.0,0.0,0.0,0.0,,0.20000000000000018,1210.0
Highway maintenance workers,47-4051,Line item,160.4,166.5,0.1,0.1,6.1,3.8,1.8,13.9,47360.0,2023,2033,Highway maintenance workers,159.1,163.9,0.1,0.1,4.8,3.0,,12.3,49070.0,2024,2034,both,-1.3000000000000114,-2.5999999999999943,0.0,0.0,-1.2999999999999998,-0.7999999999999998,,-1.5999999999999996,1710.0
Rail-track laying and maintenance equipment operators,47-4061,Line item,17.7,18.1,0.0,0.0,0.4,2.5,,1.3,67000.0,2023,2033,Rail-track laying and maintenance equipment operators,15.0,15.3,0.0,0.0,0.2,1.6,,1.1,67370.0,2024,2034,both,-2.6999999999999993,-2.8000000000000007,0.0,0.0,-0.2,-0.8999999999999999,,-0.19999999999999996,370.0
Septic tank servicers and sewer pipe cleaners,47-4071,Line item,30.1,32.6,0.0,0.0,2.4,8.1,5.1,3.0,46910.0,2023,2033,Septic tank servicers and sewer pipe cleaners,30.4,32.7,0.0,0.0,2.3,7.6,2.8,2.9,49140.0,2024,2034,both,0.29999999999999716,0.10000000000000142,0.0,0.0,-0.10000000000000009,-0.5,-2.3,-0.10000000000000009,2230.0
Miscellaneous construction and related workers,47-4090,Line item,31.6,32.9,0.0,0.0,1.3,4.0,5.8,3.0,47090.0,2023,2033,Miscellaneous construction and related workers,35.0,36.2,0.0,0.0,1.2,3.5,3.2,3.1,48120.0,2024,2034,both,3.3999999999999986,3.3000000000000043,0.0,0.0,-0.10000000000000009,-0.5,-2.5999999999999996,0.10000000000000009,1030.0
"Derrick operators, oil and gas",47-5011,Line item,12.1,12.5,0.0,0.0,0.4,3.1,,1.2,58210.0,2023,2033,"Derrick operators, oil and gas",11.3,11.3,0.0,0.0,0.1,0.5,1.4,1.0,62740.0,2024,2034,both,-0.7999999999999989,-1.1999999999999993,0.0,0.0,-0.30000000000000004,-2.6,,-0.19999999999999996,4530.0
"Rotary drill operators, oil and gas",47-5012,Line item,12.8,13.1,0.0,0.0,0.3,2.2,,1.3,61770.0,2023,2033,"Rotary drill operators, oil and gas",13.3,13.4,0.0,0.0,0.0,0.2,1.4,1.2,65010.0,2024,2034,both,0.5,0.3000000000000007,0.0,0.0,-0.3,-2.0,,-0.10000000000000009,3240.0
"Service unit operators, oil and gas",47-5013,Line item,48.7,49.7,0.0,0.0,1.0,2.1,,4.9,55750.0,2023,2033,"Service unit operators, oil and gas",45.2,45.4,0.0,0.0,0.2,0.4,1.4,4.1,57980.0,2024,2034,both,-3.5,-4.300000000000004,0.0,0.0,-0.8,-1.7000000000000002,,-0.8000000000000007,2230.0
"Excavating and loading machine and dragline operators, surface mining",47-5022,Line item,34.4,34.1,0.0,0.0,-0.3,-0.8,3.9,3.5,50050.0,2023,2033,"Excavating and loading machine and dragline operators, surface mining",35.8,35.6,0.0,0.0,-0.1,-0.4,3.2,3.1,52550.0,2024,2034,both,1.3999999999999986,1.5,0.0,0.0,0.19999999999999998,0.4,-0.6999999999999997,-0.3999999999999999,2500.0
"Earth drillers, except oil and gas",47-5023,Line item,18.9,19.7,0.0,0.0,0.8,4.0,3.9,2.1,56660.0,2023,2033,"Earth drillers, except oil and gas",18.3,18.8,0.0,0.0,0.5,2.9,3.3,1.7,59600.0,2024,2034,both,-0.5999999999999979,-0.8999999999999986,0.0,0.0,-0.30000000000000004,-1.1,-0.6000000000000001,-0.40000000000000013,2940.0
"Explosives workers, ordnance handling experts, and blasters",47-5032,Line item,4.8,4.8,0.0,0.0,0.1,1.2,,0.4,61590.0,2023,2033,"Explosives workers, ordnance handling experts, and blasters",5.8,5.8,0.0,0.0,-0.1,-0.9,,0.5,59110.0,2024,2034,both,1.0,1.0,0.0,0.0,-0.2,-2.1,,0.09999999999999998,-2480.0
Continuous mining machine operators,47-5041,Line item,16.1,15.8,0.0,0.0,-0.3,-1.8,0.4,1.8,61420.0,2023,2033,Continuous mining machine operators,14.9,15.0,0.0,0.0,0.1,0.6,2.8,1.6,63380.0,2024,2034,both,-1.200000000000001,-0.8000000000000007,0.0,0.0,0.4,2.4,2.4,-0.19999999999999996,1960.0
"Roof bolters, mining",47-5043,Line item,2.0,1.4,0.0,0.0,-0.6,-32.0,,0.1,66660.0,2023,2033,"Roof bolters, mining",2.3,1.5,0.0,0.0,-0.8,-34.2,2.8,0.1,76640.0,2024,2034,both,0.2999999999999998,0.10000000000000009,0.0,0.0,-0.20000000000000007,-2.200000000000003,,0.0,9980.0
"Loading and moving machine operators, underground mining",47-5044,Line item,5.3,4.1,0.0,0.0,-1.2,-22.9,,0.4,64070.0,2023,2033,"Loading and moving machine operators, underground mining",6.4,5.0,0.0,0.0,-1.4,-22.3,2.8,0.5,68860.0,2024,2034,both,1.1000000000000005,0.9000000000000004,0.0,0.0,-0.19999999999999996,0.5999999999999979,,0.09999999999999998,4790.0
"Underground mining machine operators, all other",47-5049,Line item,2.6,2.5,0.0,0.0,-0.1,-4.5,,0.3,68910.0,2023,2033,"Underground mining machine operators, all other",3.6,3.4,0.0,0.0,-0.2,-6.1,2.8,0.4,67220.0,2024,2034,both,1.0,0.8999999999999999,0.0,0.0,-0.1,-1.5999999999999996,,0.10000000000000003,-1690.0
"Rock splitters, quarry",47-5051,Line item,3.7,3.8,0.0,0.0,0.1,2.8,1.5,0.4,46530.0,2023,2033,"Rock splitters, quarry",3.2,3.4,0.0,0.0,0.1,4.4,3.3,0.4,47460.0,2024,2034,both,-0.5,-0.3999999999999999,0.0,0.0,0.0,1.6000000000000005,1.7999999999999998,0.0,930.0
"Roustabouts, oil and gas",47-5071,Line item,46.0,48.6,0.0,0.0,2.5,5.5,,4.9,46340.0,2023,2033,"Roustabouts, oil and gas",46.0,47.1,0.0,0.0,1.1,2.5,1.4,4.3,47510.0,2024,2034,both,0.0,-1.5,0.0,0.0,-1.4,-3.0,,-0.6000000000000005,1170.0
Helpers--extraction workers,47-5081,Line item,7.7,7.8,0.0,0.0,0.1,1.8,1.5,0.9,45520.0,2023,2033,Helpers--extraction workers,7.0,6.9,0.0,0.0,-0.1,-1.7,3.3,0.7,48400.0,2024,2034,both,-0.7000000000000002,-0.8999999999999995,0.0,0.0,-0.2,-3.5,1.7999999999999998,-0.20000000000000007,2880.0
"Extraction workers, all other",47-5099,Line item,7.4,7.4,0.0,0.0,0.0,-0.5,1.5,0.9,49580.0,2023,2033,"Extraction workers, all other",6.3,6.4,0.0,0.0,0.1,1.4,3.3,0.7,50110.0,2024,2034,both,-1.1000000000000005,-1.0,0.0,0.0,0.1,1.9,1.7999999999999998,-0.20000000000000007,530.0
"First-line supervisors of mechanics, installers, and repairers",49-1011,Line item,604.3,626.2,0.4,0.4,21.9,3.6,,50.6,75820.0,2023,2033,"First-line supervisors of mechanics, installers, and repairers",617.5,636.5,0.4,0.4,19.1,3.1,0.3,52.4,78300.0,2024,2034,both,13.200000000000045,10.299999999999955,0.0,0.0,-2.799999999999997,-0.5,,1.7999999999999972,2480.0
"Computer, automated teller, and office machine repairers",49-2011,Line item,85.7,84.0,0.1,0.0,-1.7,-2.0,8.6,8.2,45760.0,2023,2033,"Computer, automated teller, and office machine repairers",79.1,78.4,0.0,0.0,-0.7,-0.9,6.2,7.6,46860.0,2024,2034,both,-6.6000000000000085,-5.599999999999994,-0.1,0.0,1.0,1.1,-2.3999999999999995,-0.5999999999999996,1100.0
"Radio, cellular, and tower equipment installers and repairers",49-2021,Line item,12.0,12.9,0.0,0.0,0.8,6.8,1.2,1.3,61310.0,2023,2033,"Radio, cellular, and tower equipment installers and repairers",11.7,12.7,0.0,0.0,1.0,8.6,1.7,1.2,64190.0,2024,2034,both,-0.3000000000000007,-0.20000000000000107,0.0,0.0,0.19999999999999996,1.7999999999999998,0.5,-0.10000000000000009,2880.0
"Telecommunications equipment installers and repairers, except line installers",49-2022,Line item,162.3,156.8,0.1,0.1,-5.5,-3.4,1.3,14.5,61270.0,2023,2033,"Telecommunications equipment installers and repairers, except line installers",156.9,150.4,0.1,0.1,-6.6,-4.2,1.9,13.2,62630.0,2024,2034,both,-5.400000000000006,-6.400000000000006,0.0,0.0,-1.0999999999999996,-0.8000000000000003,0.5999999999999999,-1.3000000000000007,1360.0
Avionics technicians,49-2091,Line item,21.9,23.5,0.0,0.0,1.7,7.6,,1.9,77420.0,2023,2033,Avionics technicians,21.4,23.1,0.0,0.0,1.7,8.2,,1.8,81390.0,2024,2034,both,-0.5,-0.3999999999999986,0.0,0.0,0.0,0.5999999999999996,,-0.09999999999999987,3970.0
"Electric motor, power tool, and related repairers",49-2092,Line item,17.7,18.6,0.0,0.0,0.9,5.0,8.1,1.8,49230.0,2023,2033,"Electric motor, power tool, and related repairers",17.1,17.7,0.0,0.0,0.6,3.4,1.8,1.7,53990.0,2024,2034,both,-0.5999999999999979,-0.9000000000000021,0.0,0.0,-0.30000000000000004,-1.6,-6.3,-0.10000000000000009,4760.0
